		419A	Front Cupboard 01	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FCU-01	419A-S01	419A-FCU-01 · Front Cupboard 01		Front Cupboard			TRUE							
		419A	Front Cupboard 02	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FCU-02	419A-S02	419A-FCU-02 · Front Cupboard 02		Front Cupboard			TRUE							
		419A	Front Cupboard 03	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FCU-03	419A-S03	419A-FCU-03 · Front Cupboard 03		Front Cupboard			TRUE							
		419A	Front Cupboard 04	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FCU-04	419A-S04	419A-FCU-04 · Front Cupboard 04		Front Cupboard			TRUE							
		419A	Front Cupboard 05	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FCU-05	419A-S05	419A-FCU-05 · Front Cupboard 05		Front Cupboard			TRUE							
		419A	Front Cupboard 06	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FCU-06	419A-S06	419A-FCU-06 · Front Cupboard 06		Front Cupboard			TRUE							
		419A	Front Drawer 01	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FDW-01	419A-S07	419A-FDW-01 · Front Drawer 01		Front Drawer			TRUE							
		419A	Front Drawer 02	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FDW-02	419A-S08	419A-FDW-02 · Front Drawer 02		Front Drawer			TRUE							
		419A	Front Drawer 03	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FDW-03	419A-S09	419A-FDW-03 · Front Drawer 03		Front Drawer			TRUE							
		419A	Front Drawer 04	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FDW-04	419A-S10	419A-FDW-04 · Front Drawer 04		Front Drawer			TRUE							
		419A	Front Drawer Ground 01	0.0	Storage	Good			Placeholder row for QR/location page; use this storage code during phone stocktaking.	419A-FDG-01	419A-S11	419A-FDG-01 · Front Drawer Ground 01		Front Drawer Ground			TRUE							
